Node_Config Probability Error
10000000000000000101110010 0.000082 0.000013
00101100101110111000000001 0.000010 0.000002
00101010110111111000001101 0.000077 0.000011
11000101001000000111110011 0.000017 0.000002
11010001001000000111110110 0.001144 0.000013
01110111111011110011011001 0.000005 0.000002
10001000000100010100100010 0.000054 0.000014
10001010000100010100101111 0.000219 0.000003
11110101111011100011110000 0.000018 0.000007
00101100110111111000001001 0.000172 0.000028
00101000101010110100110101 0.000001 0.000002
00000100111101111000000001 0.000012 0.000005
01010111011001000011111010 0.000006 0.000005
11000001001000001111110010 0.000003 0.000004
11110111111011000011111000 0.000408 0.000025
10001000000100011100000010 0.000662 0.000035
11111011101010000111111011 0.000037 0.000002
11001001000100001110100010 0.000271 0.000032
10101000100110111100000000 0.000110 0.000007
01110111111011000011011011 0.000003 0.000002
01110101111011000011111101 0.000037 0.000015
00110011111111111000001000 0.000018 0.000005
00000000000100011100000001 0.000009 0.000007
00101100111110111000000101 0.000101 0.000008
11111011000000000111111010 0.000100 0.000008
00101000111111110001011100 0.000004 0.000005
11011001000000000111111011 0.000173 0.000017
00101000110111111000000001 0.000191 0.000022
01110101111011101011011110 0.000019 0.000008
00101100110111111000000000 0.001695 0.000023
00101110110111111000001000 0.001196 0.000011
10001000000100011100000100 0.000996 0.000044
11001000000000000111110011 0.000738 0.000022
01110111111011101010001011 0.000073 0.000025
01110101111011100011110011 0.000165 0.000027
11010111010001000011111110 0.000053 0.000016
01110101111011101011000001 0.000004 0.000003
10011010000100011100001110 0.000060 0.000010
10101000000100111100000101 0.000065 0.000011
10101000101110111100000000 0.000044 0.000010
00001000000100111100000110 0.000131 0.000008
11010011000001000111110010 0.000004 0.000003
11010111111001000011111011 0.000019 0.000003
00100110111011110001011001 0.000127 0.000028
01010111110011100011111001 0.000006 0.000007
10001000000100000101110111 0.000228 0.000008
11010101000000000111111111 0.000391 0.000031
01110111111011000011111110 0.000455 0.000024
00110111111111111000001101 0.000547 0.000050
00000110010101111000001110 0.000003 0.000004
10001000000100010100100111 0.000815 0.000047
11000000000000001110100010 0.000009 0.000002
10001010000100011100001110 0.000199 0.000030
00111011111111111000001000 0.000332 0.000015
00101010111111111000000101 0.000296 0.000016
10001000000100011100000110 0.001186 0.000045
10001000100100010100110101 0.000001 0.000002
