Node_Config Probability Error
0001011011101010011110 0.000006 0.000009
0101111011101011011110 0.000168 0.000046
1000000001000111110011 0.000097 0.000008
1010001010000111111110 0.000012 0.000011
0001110111111000000101 0.000064 0.000007
0110001110111100000100 0.000262 0.000006
1110001000000111110111 0.000079 0.000013
0001010001110000010101 0.000003 0.000002
0101111010101011011011 0.000044 0.000004
0111100100111000000001 0.000033 0.000006
1000000100111100000001 0.000039 0.000006
0110001100111100000111 0.000055 0.000024
1010000100000101111111 0.000076 0.000002
1010000100011100001101 0.000495 0.000026
1000000000000101110110 0.000292 0.000025
0001111011111010000001 0.000002 0.000002
1111111011000011111110 0.000008 0.000002
0110001110111100000101 0.000221 0.000008
0001110011000011110011 0.000097 0.000006
1100001010000111111010 0.000011 0.000012
1010000100000100100111 0.000018 0.000004
0111110111111000001100 0.001068 0.000079
1010000100111100001000 0.000279 0.000015
1000000001000111110110 0.000136 0.000015
0000111111111100000100 0.000002 0.000002
0100111011100011111001 0.000127 0.000017
1010000100010100111100 0.000012 0.000011
1010000100011100001000 0.000479 0.000021
0001110111111000001001 0.000071 0.000012
1111111010000011111011 0.000009 0.000004
0001110111111000001000 0.000074 0.000008
1110000100011100000000 0.000105 0.000007
1010000100010100101101 0.000442 0.000025
1001110011000011110110 0.000038 0.000004
1110100100111100001001 0.000067 0.000006
0101111011110011111100 0.000098 0.000012
1010000100001110000010 0.000133 0.000035
1110101110111100000100 0.000289 0.000017
0101111011110001010101 0.000659 0.000026
1010000100001110000110 0.000108 0.000023
1010100100111100001000 0.000074 0.000018
1110001000000111111111 0.000135 0.000006
1110000100001110101110 0.000009 0.000006
1010000100011100100100 0.000023 0.000006
0101111011110001000101 0.000006 0.000004
0011000100111100001111 0.000005 0.000010
1010000101010100100101 0.000100 0.000002
1110001100111100001011 0.000006 0.000004
0111111111111010000000 0.000164 0.000004
1001000000000011110110 0.000036 0.000002
1010000100011100101000 0.000003 0.000015
0111100100111100000101 0.000038 0.000016
0111111110111000001101 0.000100 0.000004
0100011011000011110011 0.000021 0.000002
0101111011111001011100 0.000002 0.000006
1100001011010101110101 0.000006 0.000010
0111111010101011010010 0.000014 0.000016
1010000100001100000010 0.000223 0.000018
1111110011000011111111 0.000009 0.000009
1010000100111100000101 0.000306 0.000002
0101111011110001110101 0.000092 0.000017
1110101010110101101100 0.000002 0.000002
1110100100111100000000 0.000185 0.000015
1010001100000101111111 0.000002 0.000008
1001000100001110100010 0.000023 0.000015
1110001100010100100101 0.000024 0.000013
0001111111111000001001 0.000147 0.000026
0010000101011100000101 0.000020 0.000013
1010000100000101110110 0.000056 0.000022
1011000000000111110010 0.000077 0.000017
1000000000000101111111 0.000162 0.000004
1011000000000111111011 0.000141 0.000011
1100001010000111110010 0.000011 0.000002
1110000010000111111110 0.000048 0.000011
1011000100011100000010 0.000048 0.000006
0111111110111000000001 0.000148 0.000013
1000000101111100001100 0.000009 0.000015
1100011011000011111110 0.000053 0.000004
1110001010000111111010 0.000085 0.000004
0100111011000011110000 0.000003 0.000025
0001111101111000001001 0.000014 0.000002
1001110011000011110010 0.000092 0.000009
1000000000000011111110 0.000002 0.000022
0110111011000011111011 0.000021 0.000010
1000000000000101111011 0.000150 0.000002
0110111111111010001100 0.000023 0.000011
1110001000010101110101 0.000003 0.000021
1011100100111100001000 0.000033 0.000022
1011000000000111111010 0.000115 0.000009
0110100100111100000001 0.000052 0.000006
0011111111111000000000 0.000006 0.000002
0101111011101010011011 0.000052 0.000009
1010101100111100000100 0.000002 0.000004
1011100100111100001001 0.000012 0.000009
1001110001110001011000 0.000003 0.000018
1011100100111100000000 0.000058 0.000025
0110111111111100001101 0.000047 0.000006
1011000000000111111110 0.000230 0.000002
1000000001010101100100 0.000012 0.000002
0101110011100011111100 0.000006 0.000004
0111111111101011001010 0.000012 0.000019
1001001000000111110111 0.000150 0.000028
1010001000000111111111 0.000100 0.000004
0110101110111100000100 0.000491 0.000004
0111101100111000000001 0.000006 0.000055
0011100100111000000101 0.000018 0.000024
0001111111111000000001 0.000255 0.000015
0101111010101011011010 0.000091 0.000006
1011000100001110100010 0.000058 0.000002
0111111111111010000111 0.000008 0.000015
0111111010100011110110 0.000002 0.000004
0101111010100011111010 0.000074 0.000023
0111101110111000001100 0.000188 0.000002
1001001000000111111110 0.000250 0.000009
0000110111111000001100 0.000002 0.000004
0101110011100011110001 0.000012 0.000025
0001110001110001010101 0.000005 0.000028
0111100110111100001101 0.000018 0.000009
1110000000000111111110 0.000208 0.000006
1110001010000111111111 0.000244 0.000036
0110101110111100001100 0.000389 0.000008
0100111111110000011101 0.000005 0.000010
1001001000000111111011 0.000117 0.000006
1000000100011100000100 0.000124 0.000035
1100011011000111111110 0.000027 0.000025
0111111011100011110111 0.000041 0.000024
1000010001000011110010 0.000127 0.000017
0101111011111010001001 0.000074 0.000004
1110000100111100001001 0.000032 0.000059
